date,areaType,areaCode,areaName,age,cases
24/08/2020,nation,E92000001,England,70+,63
23/08/2020,nation,E92000001,England,70+,30
22/08/2020,nation,E92000001,England,70+,39
21/08/2020,nation,E92000001,England,70+,62
20/08/2020,nation,E92000001,England,70+,70
19/08/2020,nation,E92000001,England,70+,64
18/08/2020,nation,E92000001,England,70+,60
17/08/2020,nation,E92000001,England,70+,63
16/08/2020,nation,E92000001,England,70+,27
15/08/2020,nation,E92000001,England,70+,35
14/08/2020,nation,E92000001,England,70+,95
13/08/2020,nation,E92000001,England,70+,89
12/08/2020,nation,E92000001,England,70+,77
11/08/2020,nation,E92000001,England,70+,97
10/08/2020,nation,E92000001,England,70+,107
09/08/2020,nation,E92000001,England,70+,40
08/08/2020,nation,E92000001,England,70+,53
07/08/2020,nation,E92000001,England,70+,85
06/08/2020,nation,E92000001,England,70+,104
05/08/2020,nation,E92000001,England,70+,93
04/08/2020,nation,E92000001,England,70+,121
03/08/2020,nation,E92000001,England,70+,106
02/08/2020,nation,E92000001,England,70+,33
01/08/2020,nation,E92000001,England,70+,31
31/07/2020,nation,E92000001,England,70+,80
30/07/2020,nation,E92000001,England,70+,74
29/07/2020,nation,E92000001,England,70+,94
28/07/2020,nation,E92000001,England,70+,101
27/07/2020,nation,E92000001,England,70+,76
26/07/2020,nation,E92000001,England,70+,27
25/07/2020,nation,E92000001,England,70+,41
24/07/2020,nation,E92000001,England,70+,81
23/07/2020,nation,E92000001,England,70+,82
22/07/2020,nation,E92000001,England,70+,82
21/07/2020,nation,E92000001,England,70+,82
20/07/2020,nation,E92000001,England,70+,84
19/07/2020,nation,E92000001,England,70+,32
18/07/2020,nation,E92000001,England,70+,32
17/07/2020,nation,E92000001,England,70+,41
16/07/2020,nation,E92000001,England,70+,81
15/07/2020,nation,E92000001,England,70+,93
14/07/2020,nation,E92000001,England,70+,91
13/07/2020,nation,E92000001,England,70+,79
12/07/2020,nation,E92000001,England,70+,22
11/07/2020,nation,E92000001,England,70+,42
10/07/2020,nation,E92000001,England,70+,73
09/07/2020,nation,E92000001,England,70+,86
08/07/2020,nation,E92000001,England,70+,88
07/07/2020,nation,E92000001,England,70+,85
06/07/2020,nation,E92000001,England,70+,115
05/07/2020,nation,E92000001,England,70+,64
04/07/2020,nation,E92000001,England,70+,46
03/07/2020,nation,E92000001,England,70+,74
02/07/2020,nation,E92000001,England,70+,90
01/07/2020,nation,E92000001,England,70+,95
30/06/2020,nation,E92000001,England,70+,80
29/06/2020,nation,E92000001,England,70+,93
28/06/2020,nation,E92000001,England,70+,60
27/06/2020,nation,E92000001,England,70+,76
26/06/2020,nation,E92000001,England,70+,120
25/06/2020,nation,E92000001,England,70+,108
24/06/2020,nation,E92000001,England,70+,131
23/06/2020,nation,E92000001,England,70+,160
22/06/2020,nation,E92000001,England,70+,145
21/06/2020,nation,E92000001,England,70+,81
20/06/2020,nation,E92000001,England,70+,104
19/06/2020,nation,E92000001,England,70+,161
18/06/2020,nation,E92000001,England,70+,175
17/06/2020,nation,E92000001,England,70+,181
16/06/2020,nation,E92000001,England,70+,228
15/06/2020,nation,E92000001,England,70+,182
14/06/2020,nation,E92000001,England,70+,121
13/06/2020,nation,E92000001,England,70+,145
12/06/2020,nation,E92000001,England,70+,184
11/06/2020,nation,E92000001,England,70+,197
10/06/2020,nation,E92000001,England,70+,290
09/06/2020,nation,E92000001,England,70+,257
08/06/2020,nation,E92000001,England,70+,233
07/06/2020,nation,E92000001,England,70+,150
06/06/2020,nation,E92000001,England,70+,137
05/06/2020,nation,E92000001,England,70+,280
04/06/2020,nation,E92000001,England,70+,368
03/06/2020,nation,E92000001,England,70+,385
02/06/2020,nation,E92000001,England,70+,450
01/06/2020,nation,E92000001,England,70+,442
31/05/2020,nation,E92000001,England,70+,313
30/05/2020,nation,E92000001,England,70+,293
29/05/2020,nation,E92000001,England,70+,394
28/05/2020,nation,E92000001,England,70+,489
27/05/2020,nation,E92000001,England,70+,498
26/05/2020,nation,E92000001,England,70+,417
25/05/2020,nation,E92000001,England,70+,381
24/05/2020,nation,E92000001,England,70+,277
23/05/2020,nation,E92000001,England,70+,310
22/05/2020,nation,E92000001,England,70+,556
21/05/2020,nation,E92000001,England,70+,672
20/05/2020,nation,E92000001,England,70+,648
19/05/2020,nation,E92000001,England,70+,797
18/05/2020,nation,E92000001,England,70+,633
17/05/2020,nation,E92000001,England,70+,429
16/05/2020,nation,E92000001,England,70+,403
15/05/2020,nation,E92000001,England,70+,548
14/05/2020,nation,E92000001,England,70+,633
13/05/2020,nation,E92000001,England,70+,974
12/05/2020,nation,E92000001,England,70+,975
11/05/2020,nation,E92000001,England,70+,1066
10/05/2020,nation,E92000001,England,70+,590
09/05/2020,nation,E92000001,England,70+,526
08/05/2020,nation,E92000001,England,70+,728
07/05/2020,nation,E92000001,England,70+,1078
06/05/2020,nation,E92000001,England,70+,991
05/05/2020,nation,E92000001,England,70+,1004
04/05/2020,nation,E92000001,England,70+,1114
03/05/2020,nation,E92000001,England,70+,787
02/05/2020,nation,E92000001,England,70+,878
01/05/2020,nation,E92000001,England,70+,1229
30/04/2020,nation,E92000001,England,70+,1320
29/04/2020,nation,E92000001,England,70+,1310
28/04/2020,nation,E92000001,England,70+,1140
27/04/2020,nation,E92000001,England,70+,1189
26/04/2020,nation,E92000001,England,70+,717
25/04/2020,nation,E92000001,England,70+,908
24/04/2020,nation,E92000001,England,70+,1279
23/04/2020,nation,E92000001,England,70+,1307
22/04/2020,nation,E92000001,England,70+,1204
21/04/2020,nation,E92000001,England,70+,1253
20/04/2020,nation,E92000001,England,70+,1240
19/04/2020,nation,E92000001,England,70+,866
18/04/2020,nation,E92000001,England,70+,1053
17/04/2020,nation,E92000001,England,70+,1255
16/04/2020,nation,E92000001,England,70+,1306
15/04/2020,nation,E92000001,England,70+,1231
14/04/2020,nation,E92000001,England,70+,1109
13/04/2020,nation,E92000001,England,70+,1139
12/04/2020,nation,E92000001,England,70+,1005
11/04/2020,nation,E92000001,England,70+,1080
10/04/2020,nation,E92000001,England,70+,1254
09/04/2020,nation,E92000001,England,70+,1385
08/04/2020,nation,E92000001,England,70+,1491
07/04/2020,nation,E92000001,England,70+,1534
06/04/2020,nation,E92000001,England,70+,1592
05/04/2020,nation,E92000001,England,70+,1250
04/04/2020,nation,E92000001,England,70+,1311
03/04/2020,nation,E92000001,England,70+,1647
02/04/2020,nation,E92000001,England,70+,1602
01/04/2020,nation,E92000001,England,70+,1722
31/03/2020,nation,E92000001,England,70+,1676
30/03/2020,nation,E92000001,England,70+,1589
29/03/2020,nation,E92000001,England,70+,1145
28/03/2020,nation,E92000001,England,70+,1100
27/03/2020,nation,E92000001,England,70+,1247
26/03/2020,nation,E92000001,England,70+,1240
25/03/2020,nation,E92000001,England,70+,1037
24/03/2020,nation,E92000001,England,70+,907
23/03/2020,nation,E92000001,England,70+,930
22/03/2020,nation,E92000001,England,70+,573
21/03/2020,nation,E92000001,England,70+,461
20/03/2020,nation,E92000001,England,70+,455
19/03/2020,nation,E92000001,England,70+,410
18/03/2020,nation,E92000001,England,70+,414
17/03/2020,nation,E92000001,England,70+,325
16/03/2020,nation,E92000001,England,70+,288
15/03/2020,nation,E92000001,England,70+,186
14/03/2020,nation,E92000001,England,70+,167
13/03/2020,nation,E92000001,England,70+,134
12/03/2020,nation,E92000001,England,70+,108
11/03/2020,nation,E92000001,England,70+,83
10/03/2020,nation,E92000001,England,70+,60
09/03/2020,nation,E92000001,England,70+,15
08/03/2020,nation,E92000001,England,70+,9
07/03/2020,nation,E92000001,England,70+,8
06/03/2020,nation,E92000001,England,70+,9
05/03/2020,nation,E92000001,England,70+,4
04/03/2020,nation,E92000001,England,70+,4
03/03/2020,nation,E92000001,England,70+,5
02/03/2020,nation,E92000001,England,70+,2
01/03/2020,nation,E92000001,England,70+,2
29/02/2020,nation,E92000001,England,70+,2
28/02/2020,nation,E92000001,England,70+,0
27/02/2020,nation,E92000001,England,70+,0
26/02/2020,nation,E92000001,England,70+,0
25/02/2020,nation,E92000001,England,70+,1
24/02/2020,nation,E92000001,England,70+,0
23/02/2020,nation,E92000001,England,70+,0
22/02/2020,nation,E92000001,England,70+,0
21/02/2020,nation,E92000001,England,70+,1
20/02/2020,nation,E92000001,England,70+,0
19/02/2020,nation,E92000001,England,70+,0
18/02/2020,nation,E92000001,England,70+,0
17/02/2020,nation,E92000001,England,70+,0
16/02/2020,nation,E92000001,England,70+,0
15/02/2020,nation,E92000001,England,70+,0
14/02/2020,nation,E92000001,England,70+,0
13/02/2020,nation,E92000001,England,70+,0
12/02/2020,nation,E92000001,England,70+,0
11/02/2020,nation,E92000001,England,70+,0
10/02/2020,nation,E92000001,England,70+,0
09/02/2020,nation,E92000001,England,70+,0
08/02/2020,nation,E92000001,England,70+,0
07/02/2020,nation,E92000001,England,70+,0
06/02/2020,nation,E92000001,England,70+,0
05/02/2020,nation,E92000001,England,70+,0
04/02/2020,nation,E92000001,England,70+,0
03/02/2020,nation,E92000001,England,70+,0
02/02/2020,nation,E92000001,England,70+,0
01/02/2020,nation,E92000001,England,70+,0
31/01/2020,nation,E92000001,England,70+,0
30/01/2020,nation,E92000001,England,70+,0
