date,areaType,areaCode,areaName,age,cases
19/07/2020,nation,E92000001,England,35_49,101
18/07/2020,nation,E92000001,England,35_49,111
17/07/2020,nation,E92000001,England,35_49,151
16/07/2020,nation,E92000001,England,35_49,131
15/07/2020,nation,E92000001,England,35_49,181
14/07/2020,nation,E92000001,England,35_49,146
13/07/2020,nation,E92000001,England,35_49,167
12/07/2020,nation,E92000001,England,35_49,77
11/07/2020,nation,E92000001,England,35_49,105
10/07/2020,nation,E92000001,England,35_49,129
09/07/2020,nation,E92000001,England,35_49,167
08/07/2020,nation,E92000001,England,35_49,174
07/07/2020,nation,E92000001,England,35_49,125
06/07/2020,nation,E92000001,England,35_49,167
05/07/2020,nation,E92000001,England,35_49,141
04/07/2020,nation,E92000001,England,35_49,99
03/07/2020,nation,E92000001,England,35_49,137
02/07/2020,nation,E92000001,England,35_49,139
01/07/2020,nation,E92000001,England,35_49,154
30/06/2020,nation,E92000001,England,35_49,134
29/06/2020,nation,E92000001,England,35_49,149
28/06/2020,nation,E92000001,England,35_49,97
27/06/2020,nation,E92000001,England,35_49,122
26/06/2020,nation,E92000001,England,35_49,165
25/06/2020,nation,E92000001,England,35_49,148
24/06/2020,nation,E92000001,England,35_49,143
23/06/2020,nation,E92000001,England,35_49,141
22/06/2020,nation,E92000001,England,35_49,184
21/06/2020,nation,E92000001,England,35_49,132
20/06/2020,nation,E92000001,England,35_49,142
19/06/2020,nation,E92000001,England,35_49,189
18/06/2020,nation,E92000001,England,35_49,227
17/06/2020,nation,E92000001,England,35_49,205
16/06/2020,nation,E92000001,England,35_49,227
15/06/2020,nation,E92000001,England,35_49,232
14/06/2020,nation,E92000001,England,35_49,200
13/06/2020,nation,E92000001,England,35_49,179
12/06/2020,nation,E92000001,England,35_49,234
11/06/2020,nation,E92000001,England,35_49,213
10/06/2020,nation,E92000001,England,35_49,219
09/06/2020,nation,E92000001,England,35_49,220
08/06/2020,nation,E92000001,England,35_49,228
07/06/2020,nation,E92000001,England,35_49,135
06/06/2020,nation,E92000001,England,35_49,155
05/06/2020,nation,E92000001,England,35_49,205
04/06/2020,nation,E92000001,England,35_49,215
03/06/2020,nation,E92000001,England,35_49,227
02/06/2020,nation,E92000001,England,35_49,264
01/06/2020,nation,E92000001,England,35_49,247
31/05/2020,nation,E92000001,England,35_49,176
30/05/2020,nation,E92000001,England,35_49,190
29/05/2020,nation,E92000001,England,35_49,269
28/05/2020,nation,E92000001,England,35_49,312
27/05/2020,nation,E92000001,England,35_49,288
26/05/2020,nation,E92000001,England,35_49,293
25/05/2020,nation,E92000001,England,35_49,291
24/05/2020,nation,E92000001,England,35_49,262
23/05/2020,nation,E92000001,England,35_49,239
22/05/2020,nation,E92000001,England,35_49,334
21/05/2020,nation,E92000001,England,35_49,455
20/05/2020,nation,E92000001,England,35_49,450
19/05/2020,nation,E92000001,England,35_49,546
18/05/2020,nation,E92000001,England,35_49,424
17/05/2020,nation,E92000001,England,35_49,339
16/05/2020,nation,E92000001,England,35_49,387
15/05/2020,nation,E92000001,England,35_49,473
14/05/2020,nation,E92000001,England,35_49,442
13/05/2020,nation,E92000001,England,35_49,542
12/05/2020,nation,E92000001,England,35_49,579
11/05/2020,nation,E92000001,England,35_49,597
10/05/2020,nation,E92000001,England,35_49,409
09/05/2020,nation,E92000001,England,35_49,399
08/05/2020,nation,E92000001,England,35_49,562
07/05/2020,nation,E92000001,England,35_49,590
06/05/2020,nation,E92000001,England,35_49,648
05/05/2020,nation,E92000001,England,35_49,664
04/05/2020,nation,E92000001,England,35_49,493
03/05/2020,nation,E92000001,England,35_49,572
02/05/2020,nation,E92000001,England,35_49,577
01/05/2020,nation,E92000001,England,35_49,891
