areaCode,areaName,areaType,date,newAdmissions
S92000003,Scotland,nation,2021-06-30,69
S92000003,Scotland,nation,2021-06-29,69
S92000003,Scotland,nation,2021-06-28,59
S92000003,Scotland,nation,2021-06-27,33
S92000003,Scotland,nation,2021-06-26,31
S92000003,Scotland,nation,2021-06-25,43
S92000003,Scotland,nation,2021-06-24,50
S92000003,Scotland,nation,2021-06-23,52
S92000003,Scotland,nation,2021-06-22,49
S92000003,Scotland,nation,2021-06-21,38
S92000003,Scotland,nation,2021-06-20,31
S92000003,Scotland,nation,2021-06-19,25
S92000003,Scotland,nation,2021-06-18,45
S92000003,Scotland,nation,2021-06-17,27
S92000003,Scotland,nation,2021-06-16,41
S92000003,Scotland,nation,2021-06-15,32
S92000003,Scotland,nation,2021-06-14,39
S92000003,Scotland,nation,2021-06-13,25
S92000003,Scotland,nation,2021-06-12,33
S92000003,Scotland,nation,2021-06-11,26
S92000003,Scotland,nation,2021-06-10,32
S92000003,Scotland,nation,2021-06-09,28
S92000003,Scotland,nation,2021-06-08,22
S92000003,Scotland,nation,2021-06-07,30
S92000003,Scotland,nation,2021-06-06,30
S92000003,Scotland,nation,2021-06-05,22
S92000003,Scotland,nation,2021-06-04,24
S92000003,Scotland,nation,2021-06-03,32
S92000003,Scotland,nation,2021-06-02,23
S92000003,Scotland,nation,2021-06-01,33
S92000003,Scotland,nation,2021-05-31,20
S92000003,Scotland,nation,2021-05-30,20
S92000003,Scotland,nation,2021-05-29,27
S92000003,Scotland,nation,2021-05-28,26
S92000003,Scotland,nation,2021-05-27,17
S92000003,Scotland,nation,2021-05-26,14
S92000003,Scotland,nation,2021-05-25,20
S92000003,Scotland,nation,2021-05-24,21
S92000003,Scotland,nation,2021-05-23,16
S92000003,Scotland,nation,2021-05-22,20
S92000003,Scotland,nation,2021-05-21,26
S92000003,Scotland,nation,2021-05-20,19
S92000003,Scotland,nation,2021-05-19,20
S92000003,Scotland,nation,2021-05-18,21
S92000003,Scotland,nation,2021-05-17,11
S92000003,Scotland,nation,2021-05-16,12
S92000003,Scotland,nation,2021-05-15,6
S92000003,Scotland,nation,2021-05-14,12
S92000003,Scotland,nation,2021-05-13,10
S92000003,Scotland,nation,2021-05-12,13
S92000003,Scotland,nation,2021-05-11,14
S92000003,Scotland,nation,2021-05-10,8
S92000003,Scotland,nation,2021-05-09,11
S92000003,Scotland,nation,2021-05-08,13
S92000003,Scotland,nation,2021-05-07,11
S92000003,Scotland,nation,2021-05-06,16
S92000003,Scotland,nation,2021-05-05,7
S92000003,Scotland,nation,2021-05-04,10
S92000003,Scotland,nation,2021-05-03,6
S92000003,Scotland,nation,2021-05-02,7
S92000003,Scotland,nation,2021-05-01,9
S92000003,Scotland,nation,2021-04-30,13
S92000003,Scotland,nation,2021-04-29,11
S92000003,Scotland,nation,2021-04-28,7
S92000003,Scotland,nation,2021-04-27,13
S92000003,Scotland,nation,2021-04-26,13
S92000003,Scotland,nation,2021-04-25,9
S92000003,Scotland,nation,2021-04-24,10
S92000003,Scotland,nation,2021-04-23,14
S92000003,Scotland,nation,2021-04-22,13
S92000003,Scotland,nation,2021-04-21,14
S92000003,Scotland,nation,2021-04-20,10
S92000003,Scotland,nation,2021-04-19,16
S92000003,Scotland,nation,2021-04-18,12
S92000003,Scotland,nation,2021-04-17,11
S92000003,Scotland,nation,2021-04-16,15
S92000003,Scotland,nation,2021-04-15,14
S92000003,Scotland,nation,2021-04-14,15
S92000003,Scotland,nation,2021-04-13,12
S92000003,Scotland,nation,2021-04-12,12
S92000003,Scotland,nation,2021-04-11,14
S92000003,Scotland,nation,2021-04-10,13
S92000003,Scotland,nation,2021-04-09,21
S92000003,Scotland,nation,2021-04-08,20
S92000003,Scotland,nation,2021-04-07,22
S92000003,Scotland,nation,2021-04-06,18
S92000003,Scotland,nation,2021-04-05,31
S92000003,Scotland,nation,2021-04-04,15
S92000003,Scotland,nation,2021-04-03,16
S92000003,Scotland,nation,2021-04-02,25
S92000003,Scotland,nation,2021-04-01,23
S92000003,Scotland,nation,2021-03-31,22
S92000003,Scotland,nation,2021-03-30,20
S92000003,Scotland,nation,2021-03-29,22
S92000003,Scotland,nation,2021-03-28,25
S92000003,Scotland,nation,2021-03-27,20
S92000003,Scotland,nation,2021-03-26,23
S92000003,Scotland,nation,2021-03-25,30
S92000003,Scotland,nation,2021-03-24,28
S92000003,Scotland,nation,2021-03-23,28
S92000003,Scotland,nation,2021-03-22,32
S92000003,Scotland,nation,2021-03-21,29
S92000003,Scotland,nation,2021-03-20,19
S92000003,Scotland,nation,2021-03-19,22
S92000003,Scotland,nation,2021-03-18,32
S92000003,Scotland,nation,2021-03-17,35
S92000003,Scotland,nation,2021-03-16,25
S92000003,Scotland,nation,2021-03-15,40
S92000003,Scotland,nation,2021-03-14,25
S92000003,Scotland,nation,2021-03-13,29
S92000003,Scotland,nation,2021-03-12,38
S92000003,Scotland,nation,2021-03-11,34
S92000003,Scotland,nation,2021-03-10,34
S92000003,Scotland,nation,2021-03-09,45
S92000003,Scotland,nation,2021-03-08,33
S92000003,Scotland,nation,2021-03-07,23
S92000003,Scotland,nation,2021-03-06,34
S92000003,Scotland,nation,2021-03-05,38
S92000003,Scotland,nation,2021-03-04,46
S92000003,Scotland,nation,2021-03-03,40
S92000003,Scotland,nation,2021-03-02,64
S92000003,Scotland,nation,2021-03-01,68
S92000003,Scotland,nation,2021-02-28,54
S92000003,Scotland,nation,2021-02-27,50
S92000003,Scotland,nation,2021-02-26,62
S92000003,Scotland,nation,2021-02-25,51
S92000003,Scotland,nation,2021-02-24,57
S92000003,Scotland,nation,2021-02-23,65
S92000003,Scotland,nation,2021-02-22,72
S92000003,Scotland,nation,2021-02-21,69
S92000003,Scotland,nation,2021-02-20,82
S92000003,Scotland,nation,2021-02-19,89
S92000003,Scotland,nation,2021-02-18,78
S92000003,Scotland,nation,2021-02-17,73
S92000003,Scotland,nation,2021-02-16,98
S92000003,Scotland,nation,2021-02-15,87
S92000003,Scotland,nation,2021-02-14,66
S92000003,Scotland,nation,2021-02-13,71
S92000003,Scotland,nation,2021-02-12,95
S92000003,Scotland,nation,2021-02-11,95
S92000003,Scotland,nation,2021-02-10,81
S92000003,Scotland,nation,2021-02-09,96
S92000003,Scotland,nation,2021-02-08,83
S92000003,Scotland,nation,2021-02-07,96
S92000003,Scotland,nation,2021-02-06,91
S92000003,Scotland,nation,2021-02-05,113
S92000003,Scotland,nation,2021-02-04,111
S92000003,Scotland,nation,2021-02-03,113
S92000003,Scotland,nation,2021-02-02,110
S92000003,Scotland,nation,2021-02-01,126
S92000003,Scotland,nation,2021-01-31,108
S92000003,Scotland,nation,2021-01-30,116
S92000003,Scotland,nation,2021-01-29,152
S92000003,Scotland,nation,2021-01-28,139
S92000003,Scotland,nation,2021-01-27,155
S92000003,Scotland,nation,2021-01-26,159
S92000003,Scotland,nation,2021-01-25,148
S92000003,Scotland,nation,2021-01-24,120
S92000003,Scotland,nation,2021-01-23,148
S92000003,Scotland,nation,2021-01-22,171
S92000003,Scotland,nation,2021-01-21,195
S92000003,Scotland,nation,2021-01-20,184
S92000003,Scotland,nation,2021-01-19,197
S92000003,Scotland,nation,2021-01-18,172
S92000003,Scotland,nation,2021-01-17,161
S92000003,Scotland,nation,2021-01-16,173
S92000003,Scotland,nation,2021-01-15,182
S92000003,Scotland,nation,2021-01-14,200
S92000003,Scotland,nation,2021-01-13,181
S92000003,Scotland,nation,2021-01-12,208
S92000003,Scotland,nation,2021-01-11,241
S92000003,Scotland,nation,2021-01-10,172
S92000003,Scotland,nation,2021-01-09,181
S92000003,Scotland,nation,2021-01-08,201
S92000003,Scotland,nation,2021-01-07,203
S92000003,Scotland,nation,2021-01-06,205
S92000003,Scotland,nation,2021-01-05,192
S92000003,Scotland,nation,2021-01-04,188
S92000003,Scotland,nation,2021-01-03,138
S92000003,Scotland,nation,2021-01-02,152
S92000003,Scotland,nation,2021-01-01,130
S92000003,Scotland,nation,2020-12-31,175
S92000003,Scotland,nation,2020-12-30,187
S92000003,Scotland,nation,2020-12-29,154
S92000003,Scotland,nation,2020-12-28,152
S92000003,Scotland,nation,2020-12-27,142
S92000003,Scotland,nation,2020-12-26,110
S92000003,Scotland,nation,2020-12-25,81
S92000003,Scotland,nation,2020-12-24,98
S92000003,Scotland,nation,2020-12-23,104
S92000003,Scotland,nation,2020-12-22,104
S92000003,Scotland,nation,2020-12-21,106
S92000003,Scotland,nation,2020-12-20,69
S92000003,Scotland,nation,2020-12-19,93
S92000003,Scotland,nation,2020-12-18,90
S92000003,Scotland,nation,2020-12-17,97
S92000003,Scotland,nation,2020-12-16,108
S92000003,Scotland,nation,2020-12-15,85
S92000003,Scotland,nation,2020-12-14,91
S92000003,Scotland,nation,2020-12-13,72
S92000003,Scotland,nation,2020-12-12,68
S92000003,Scotland,nation,2020-12-11,93
S92000003,Scotland,nation,2020-12-10,92
S92000003,Scotland,nation,2020-12-09,96
S92000003,Scotland,nation,2020-12-08,103
S92000003,Scotland,nation,2020-12-07,90
S92000003,Scotland,nation,2020-12-06,66
S92000003,Scotland,nation,2020-12-05,79
S92000003,Scotland,nation,2020-12-04,85
S92000003,Scotland,nation,2020-12-03,73
S92000003,Scotland,nation,2020-12-02,103
S92000003,Scotland,nation,2020-12-01,82
S92000003,Scotland,nation,2020-11-30,88
S92000003,Scotland,nation,2020-11-29,70
S92000003,Scotland,nation,2020-11-28,63
S92000003,Scotland,nation,2020-11-27,92
S92000003,Scotland,nation,2020-11-26,101
S92000003,Scotland,nation,2020-11-25,85
S92000003,Scotland,nation,2020-11-24,105
S92000003,Scotland,nation,2020-11-23,108
S92000003,Scotland,nation,2020-11-22,68
S92000003,Scotland,nation,2020-11-21,88
S92000003,Scotland,nation,2020-11-20,107
S92000003,Scotland,nation,2020-11-19,97
S92000003,Scotland,nation,2020-11-18,95
S92000003,Scotland,nation,2020-11-17,111
S92000003,Scotland,nation,2020-11-16,95
S92000003,Scotland,nation,2020-11-15,93
S92000003,Scotland,nation,2020-11-14,100
S92000003,Scotland,nation,2020-11-13,110
S92000003,Scotland,nation,2020-11-12,114
S92000003,Scotland,nation,2020-11-11,116
S92000003,Scotland,nation,2020-11-10,106
S92000003,Scotland,nation,2020-11-09,101
S92000003,Scotland,nation,2020-11-08,81
S92000003,Scotland,nation,2020-11-07,87
S92000003,Scotland,nation,2020-11-06,97
S92000003,Scotland,nation,2020-11-05,101
S92000003,Scotland,nation,2020-11-04,123
S92000003,Scotland,nation,2020-11-03,114
S92000003,Scotland,nation,2020-11-02,113
S92000003,Scotland,nation,2020-11-01,104
S92000003,Scotland,nation,2020-10-31,103
S92000003,Scotland,nation,2020-10-30,130
S92000003,Scotland,nation,2020-10-29,101
S92000003,Scotland,nation,2020-10-28,131
S92000003,Scotland,nation,2020-10-27,136
S92000003,Scotland,nation,2020-10-26,139
S92000003,Scotland,nation,2020-10-25,114
S92000003,Scotland,nation,2020-10-24,119
S92000003,Scotland,nation,2020-10-23,131
S92000003,Scotland,nation,2020-10-22,135
S92000003,Scotland,nation,2020-10-21,133
S92000003,Scotland,nation,2020-10-20,135
S92000003,Scotland,nation,2020-10-19,138
S92000003,Scotland,nation,2020-10-18,88
S92000003,Scotland,nation,2020-10-17,87
S92000003,Scotland,nation,2020-10-16,140
S92000003,Scotland,nation,2020-10-15,104
