Date,Infectins
2020-12-24,169241.27112027563
2020-12-25,160542.43671367818
2020-12-26,151599.7060283163
2020-12-27,153169.95685033358
2020-12-28,161439.664325382
2020-12-29,165162.50038429987
2020-12-30,160858.25375511762
2020-12-31,149821.1922846252
2021-01-01,136960.6162148568
2021-01-02,127778.0451268145
2021-01-03,122650.52363080821
2021-01-04,121667.23612171186
2021-01-05,123554.72204319968
2021-01-06,123942.92136849818
2021-01-07,118665.54416596706
2021-01-08,110366.18755801307
2021-01-09,103424.22107075789
2021-01-10,98331.3730880076
2021-01-11,95845.46213589293
2021-01-12,95969.61846278749
2021-01-13,98175.3678404561
2021-01-14,95308.35358676601
2021-01-15,89188.93473558333
2021-01-16,83891.45103554151
2021-01-17,80426.25325127355
2021-01-18,79857.37343044778
2021-01-19,83096.23474132128
2021-01-20,85578.16195421056
2021-01-21,84283.60311132688
2021-01-22,79551.4107523012
2021-01-23,74668.41124025744
2021-01-24,70725.23886447407
2021-01-25,68922.9930963004
2021-01-26,69626.0562514629
2021-01-27,70552.14446135535
2021-01-28,68691.72088578454
2021-01-29,64591.37278226916
2021-01-30,60288.34789652946
2021-01-31,56673.79591745194
2021-02-01,55020.454167455995
2021-02-02,55568.31961518782
2021-02-03,54417.56928569585
2021-02-04,51691.52305067093
2021-02-05,48075.200884091835
2021-02-06,44909.08898307611
2021-02-07,42539.79470078424
2021-02-08,41517.75135197127
2021-02-09,42542.69872129262
2021-02-10,43255.50777394989
2021-02-11,41784.1036306376
2021-02-12,39027.19915650551
2021-02-13,36510.35517602915
2021-02-14,34367.28608881253
2021-02-15,32986.87296247374
2021-02-16,32011.746090265548
2021-02-17,30671.0100461286
2021-02-18,27923.62932283349
2021-02-19,24616.341945850614
2021-02-20,21903.72457374851
2021-02-21,19962.56816356282
2021-02-22,18985.735850595516
2021-02-23,18892.454187788473
2021-02-24,19420.000692864276
2021-02-25,19171.550894960346
2021-02-26,18374.594177567553
2021-02-27,17783.504410717127
2021-02-28,17633.070825925613
2021-03-01,17983.756567113065
2021-03-02,18831.96231637569
2021-03-03,19195.239723057493
2021-03-04,18780.10120685982
2021-03-05,17780.140806988624
2021-03-06,16853.94076396312
2021-03-07,16212.048112074599
2021-03-08,15989.470823059899
2021-03-09,16235.257038985625
2021-03-10,16952.9454431024
2021-03-11,17037.865212930283
2021-03-12,16678.221981718576
2021-03-13,16410.658910116133
2021-03-14,16335.519662227822
2021-03-15,16612.34595347201
2021-03-16,17307.664620720312
2021-03-17,17562.945600726245
2021-03-18,17134.143643835887
2021-03-19,16207.042729721981
2021-03-20,15183.894673938908
2021-03-21,14189.277708095671
2021-03-22,13530.976513301594
2021-03-23,13297.902645197022
2021-03-24,13609.359239549569
2021-03-25,13454.991899267212
2021-03-26,12979.764800792695
2021-03-27,12666.227376625953
2021-03-28,12652.362606839275
2021-03-29,13213.599975000816
2021-03-30,14481.615048675756
2021-03-31,14824.507085874086
2021-04-01,14780.839735642116
2021-04-02,14073.096335748332
2021-04-03,12995.767192270963
2021-04-04,11862.479553158506
2021-04-05,10887.815341290489
2021-04-06,10278.169218889201
2021-04-07,10068.183114078829
2021-04-08,9692.758347694962
2021-04-09,9197.927180838604
2021-04-10,8835.647442565369
2021-04-11,8602.088775519685
2021-04-12,8539.001079413192
2021-04-13,8353.926063564126
2021-04-14,8206.590484871034
2021-04-15,7735.4417557841425
2021-04-16,7029.753858289302
2021-04-17,6353.417509706111
2021-04-18,5846.124791008948
2021-04-19,5604.913045114789
2021-04-20,5594.977407810272
2021-04-21,5700.942399005201
2021-04-22,5539.322426223012
2021-04-23,5215.85665003206
2021-04-24,4926.021569559451
2021-04-25,4733.37040608696
2021-04-26,4734.813586907453
2021-04-27,4989.517338810514
2021-04-28,5369.338207137931
2021-04-29,5482.848269097966
2021-04-30,5286.369051904569
2021-05-01,4985.283276392793
2021-05-02,4792.646244056551
2021-05-03,4762.684975481826
2021-05-04,4859.021822998873
2021-05-05,5143.953944927106
2021-05-06,5226.147476126235
2021-05-07,5240.801505300307
2021-05-08,5390.146174729263
2021-05-09,5726.7012335322415
2021-05-10,6295.35628572612
2021-05-11,7073.553945095562
2021-05-12,7393.614877945508
2021-05-13,7335.839154628678
2021-05-14,7032.634686509725
2021-05-15,6837.402999664428
2021-05-16,6906.279666142405
2021-05-17,7315.111725010979
2021-05-18,8025.395319267228
2021-05-19,9234.592738394029
2021-05-20,10169.77709138113
2021-05-21,10784.954065991476
2021-05-22,11369.99878944349
2021-05-23,12218.222176674439
2021-05-24,13679.743225960376
2021-05-25,15989.289536089196
2021-05-26,17177.941957825944
2021-05-27,17960.748508759956
2021-05-28,17963.19896991157
2021-05-29,17512.023795708992
2021-05-30,17239.577943319837
2021-05-31,17532.771345260713
2021-06-01,18333.503527060733
2021-06-02,18723.49879385585
2021-06-03,18341.8475528933
2021-06-04,17502.729966848958
2021-06-05,16786.615056363305
2021-06-06,16445.749627808043
2021-06-07,16714.103789121156
2021-06-08,17578.66898569507
2021-06-09,18601.80544914084
2021-06-10,18925.540642967095
2021-06-11,18706.089310046365
2021-06-12,18593.51601068883
2021-06-13,19012.265484799584
2021-06-14,20276.487024901526
2021-06-15,22330.449144191523
2021-06-16,25393.490888257653
2021-06-17,27771.25839991624
2021-06-18,29581.02145299968
2021-06-19,31508.444458917373
2021-06-20,34096.772729405704
2021-06-21,37890.095408837326
2021-06-22,42828.44587079406
2021-06-23,46755.08790767504
2021-06-24,48675.50936851593
2021-06-25,49090.144790214414
2021-06-26,49570.14208516633
2021-06-27,50946.36710442522
2021-06-28,54028.7017306358
2021-06-29,58802.90417215776
2021-06-30,63546.96036660456
2021-07-01,65983.50546451243
2021-07-02,66074.01446434675
2021-07-03,65851.13377533435
2021-07-04,67342.81265860186
2021-07-05,71547.4374237063
2021-07-06,77660.90721115103
2021-07-07,82607.2189966671
2021-07-08,81731.95168505746
2021-07-09,72444.61221124159
2021-07-10,54454.399502748136
2021-07-11,30725.757746519397
2021-07-12,10196.368112267506
2021-07-13,1046.136417400645
2021-07-14,1.8843738304741566
2021-07-15,0.0
2021-07-16,0.0
