date,cases
2020-06-13,140
2020-06-12,182
2020-06-11,198
2020-06-10,294
2020-06-09,267
2020-06-08,234
2020-06-07,147
2020-06-06,133
2020-06-05,278
2020-06-04,366
2020-06-03,392
2020-06-02,456
2020-06-01,446
2020-05-31,313
2020-05-30,299
2020-05-29,399
2020-05-28,491
2020-05-27,502
2020-05-26,422
2020-05-25,381
2020-05-24,279
2020-05-23,311
2020-05-22,556
2020-05-21,681
2020-05-20,655
2020-05-19,803
2020-05-18,635
2020-05-17,431
2020-05-16,408
2020-05-15,551
2020-05-14,640
2020-05-13,983
2020-05-12,990
2020-05-11,1085
2020-05-10,595
2020-05-09,526
2020-05-08,726
2020-05-07,1078
2020-05-06,998
2020-05-05,1007
2020-05-04,1118
2020-05-03,788
2020-05-02,891
2020-05-01,1241
2020-04-30,1332
2020-04-29,1322
2020-04-28,1140
2020-04-27,1196
2020-04-26,719
2020-04-25,911
2020-04-24,1281
2020-04-23,1311
2020-04-22,1207
2020-04-21,1261
2020-04-20,1256
2020-04-19,874
2020-04-18,1060
2020-04-17,1260
2020-04-16,1312
2020-04-15,1234
2020-04-14,1112
2020-04-13,1143
2020-04-12,1007
2020-04-11,1085
2020-04-10,1257
2020-04-09,1384
2020-04-08,1498
2020-04-07,1535
2020-04-06,1599
2020-04-05,1253
2020-04-04,1320
2020-04-03,1649
2020-04-02,1600
2020-04-01,1728
2020-03-31,1679
2020-03-30,1596
2020-03-29,1150
2020-03-28,1101
2020-03-27,1253
2020-03-26,1248
2020-03-25,1045
2020-03-24,911
2020-03-23,927
2020-03-22,574
2020-03-21,462
2020-03-20,456
2020-03-19,413
2020-03-18,414
2020-03-17,326
2020-03-16,286
2020-03-15,187
2020-03-14,167
2020-03-13,135
2020-03-12,108
2020-03-11,84
2020-03-10,60
2020-03-09,15
2020-03-08,9
2020-03-07,8
2020-03-06,9
2020-03-05,4
2020-03-04,4
2020-03-03,5
2020-03-02,2
2020-03-01,2
2020-02-29,0
2020-02-28,2
2020-02-27,0
2020-02-26,0
2020-02-25,1
2020-02-24,0
2020-02-23,3
2020-02-22,0
2020-02-21,1
2020-02-20,0
2020-02-19,0
2020-02-18,0
2020-02-17,1
2020-02-16,0
2020-02-15,0
2020-02-14,0
2020-02-13,1
2020-02-12,0
2020-02-11,0
2020-02-10,0
2020-02-09,0
2020-02-08,0
2020-02-07,0
2020-02-06,0
2020-02-05,0
2020-02-04,0
2020-02-03,2
2020-02-02,0
2020-02-01,0
2020-01-31,0
2020-01-30,0
