areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByPublishDate
N92000002,Northern Ireland,nation,2021-04-08,6595
N92000002,Northern Ireland,nation,2021-04-07,8550
N92000002,Northern Ireland,nation,2021-04-06,5366
N92000002,Northern Ireland,nation,2021-04-05,5562
N92000002,Northern Ireland,nation,2021-04-04,2824
N92000002,Northern Ireland,nation,2021-04-03,4868
N92000002,Northern Ireland,nation,2021-04-02,7235
N92000002,Northern Ireland,nation,2021-04-01,8992
N92000002,Northern Ireland,nation,2021-03-31,6901
N92000002,Northern Ireland,nation,2021-03-30,8383
N92000002,Northern Ireland,nation,2021-03-29,10258
N92000002,Northern Ireland,nation,2021-03-28,3882
N92000002,Northern Ireland,nation,2021-03-27,7329
N92000002,Northern Ireland,nation,2021-03-26,7587
N92000002,Northern Ireland,nation,2021-03-25,8339
N92000002,Northern Ireland,nation,2021-03-24,8471
N92000002,Northern Ireland,nation,2021-03-23,7335
N92000002,Northern Ireland,nation,2021-03-22,0
N92000002,Northern Ireland,nation,2021-03-21,19770
N92000002,Northern Ireland,nation,2021-03-20,4785
N92000002,Northern Ireland,nation,2021-03-19,7392
N92000002,Northern Ireland,nation,2021-03-18,9391
N92000002,Northern Ireland,nation,2021-03-17,5389
N92000002,Northern Ireland,nation,2021-03-16,6782
N92000002,Northern Ireland,nation,2021-03-15,4558
N92000002,Northern Ireland,nation,2021-03-14,4266
N92000002,Northern Ireland,nation,2021-03-13,3733
N92000002,Northern Ireland,nation,2021-03-12,6833
N92000002,Northern Ireland,nation,2021-03-11,7934
N92000002,Northern Ireland,nation,2021-03-10,5594
N92000002,Northern Ireland,nation,2021-03-09,4574
N92000002,Northern Ireland,nation,2021-03-08,7724
N92000002,Northern Ireland,nation,2021-03-07,5889
N92000002,Northern Ireland,nation,2021-03-06,5695
N92000002,Northern Ireland,nation,2021-03-05,9208
N92000002,Northern Ireland,nation,2021-03-04,11290
N92000002,Northern Ireland,nation,2021-03-03,11702
N92000002,Northern Ireland,nation,2021-03-02,7630
N92000002,Northern Ireland,nation,2021-03-01,11989
N92000002,Northern Ireland,nation,2021-02-28,4404
N92000002,Northern Ireland,nation,2021-02-27,5318
N92000002,Northern Ireland,nation,2021-02-26,10490
N92000002,Northern Ireland,nation,2021-02-25,13595
N92000002,Northern Ireland,nation,2021-02-24,13358
N92000002,Northern Ireland,nation,2021-02-23,10106
N92000002,Northern Ireland,nation,2021-02-22,10099
N92000002,Northern Ireland,nation,2021-02-21,12021
N92000002,Northern Ireland,nation,2021-02-20,3092
N92000002,Northern Ireland,nation,2021-02-19,6774
N92000002,Northern Ireland,nation,2021-02-18,8574
N92000002,Northern Ireland,nation,2021-02-17,9360
N92000002,Northern Ireland,nation,2021-02-16,8702
N92000002,Northern Ireland,nation,2021-02-15,12264
N92000002,Northern Ireland,nation,2021-02-14,6142
N92000002,Northern Ireland,nation,2021-02-13,3330
N92000002,Northern Ireland,nation,2021-02-12,14357
N92000002,Northern Ireland,nation,2021-02-11,19657
N92000002,Northern Ireland,nation,2021-02-10,20099
N92000002,Northern Ireland,nation,2021-02-09,16052
N92000002,Northern Ireland,nation,2021-02-08,14128
N92000002,Northern Ireland,nation,2021-02-07,7563
N92000002,Northern Ireland,nation,2021-02-06,6026
N92000002,Northern Ireland,nation,2021-02-05,14657
N92000002,Northern Ireland,nation,2021-02-04,11497
N92000002,Northern Ireland,nation,2021-02-03,17064
N92000002,Northern Ireland,nation,2021-02-02,13242
N92000002,Northern Ireland,nation,2021-02-01,11620
N92000002,Northern Ireland,nation,2021-01-31,7208
N92000002,Northern Ireland,nation,2021-01-30,10536
N92000002,Northern Ireland,nation,2021-01-29,7934
N92000002,Northern Ireland,nation,2021-01-28,20847
N92000002,Northern Ireland,nation,2021-01-27,7144
N92000002,Northern Ireland,nation,2021-01-26,4823
N92000002,Northern Ireland,nation,2021-01-25,3675
N92000002,Northern Ireland,nation,2021-01-24,3998
N92000002,Northern Ireland,nation,2021-01-23,1278
N92000002,Northern Ireland,nation,2021-01-22,3327
N92000002,Northern Ireland,nation,2021-01-21,6827
N92000002,Northern Ireland,nation,2021-01-20,5776
N92000002,Northern Ireland,nation,2021-01-19,5579
N92000002,Northern Ireland,nation,2021-01-18,7140
N92000002,Northern Ireland,nation,2021-01-17,5330
N92000002,Northern Ireland,nation,2021-01-16,2481
N92000002,Northern Ireland,nation,2021-01-15,3339
N92000002,Northern Ireland,nation,2021-01-14,11866
N92000002,Northern Ireland,nation,2021-01-13,11284
N92000002,Northern Ireland,nation,2021-01-12,7230
N92000002,Northern Ireland,nation,2021-01-11,6182
